symbol,open,high,low,close,volume,preclose,stockpctchange,date1,ma10,ma20,ma50,volumeMa10,dollarVolume,range,avgRange,adr,min10,max10,symbolToCopy,pct10d
ACRV,8.510000000000000000,10.290000000000000000,8.310000000000000000,9.590000000000000000,375300.000000000000000000,8.460000000000000000,13.360000000000000000,2024-05-03,9.11,9.28,7.11,312410.0,2996011.9,1.238267,23.117968,15.58984000000001,8.230000000000000000,10.000000000000000000,"NASDAQ:ACRV,",21.506700
ADVM,10.100000000000000000,10.690000000000000000,10.000000000000000000,10.430000000000000000,900500.000000000000000000,10.000000000000000000,4.300000000000000000,2024-05-03,10.06,10.89,8.16,510780.0,5327435.399999999,1.069000,21.487082,7.435410000000009,9.190000000000000000,11.340000000000000000,"NASDAQ:ADVM,",23.395000
ALHC,5.720000000000000000,6.730000000000000000,5.615000000000000000,6.630000000000000000,3024800.000000000000000000,5.260000000000000000,26.050000000000000000,2024-05-03,5.31,5.09,5.15,1055670.0,6999092.1,1.198575,21.072324,5.36162,5.010000000000000000,6.630000000000000000,"NASDAQ:ALHC,",32.335300
AMRX,6.250000000000000000,6.900000000000000000,5.810000000000000000,6.760000000000000000,3851000.000000000000000000,6.210000000000000000,8.860000000000000000,2024-05-03,5.97,5.78,5.75,2117690.0,1.43155844E7,1.187608,21.009035,5.045175000000013,5.370000000000000000,6.760000000000000000,"NASDAQ:AMRX,",25.884500
ANAB,26.760000000000000000,27.020000000000000000,25.640000000000000000,26.580000000000000000,332000.000000000000000000,26.340000000000000000,0.910000000000000000,2024-05-03,22.26,21.91,22.99,523510.0,1.3914895799999999E7,1.053822,21.538548,7.692739999999998,18.870000000000000000,26.580000000000000000,"NASDAQ:ANAB,",40.858500
ARQ,7.840000000000000000,8.100000000000000000,7.770000000000000000,7.970000000000000000,181300.000000000000000000,7.860000000000000000,1.400000000000000000,2024-05-03,7.55,7.29,5.95,258640.0,2061360.8,1.042471,21.818342,9.091709999999997,6.610000000000000000,7.970000000000000000,"NASDAQ:ARQ,",20.574900
BNTC,9.120000000000000000,10.290000000000000000,8.545300000000000000,8.950000000000000000,78400.000000000000000000,8.868600000000000000,0.920000000000000000,2024-05-03,7.57,6.67,5.68,56020.0,501378.99999999994,1.204171,22.433701,12.168504999999996,6.720000000000000000,8.950000000000000000,"NASDAQ:BNTC,",33.184500
CABA,12.830000000000000000,13.000000000000000000,12.200000000000000000,12.390000000000000000,817400.000000000000000000,12.600000000000000000,-1.670000000000000000,2024-05-03,12.13,14.3,17.52,2008420.0,2.48843238E7,1.065574,21.695810,8.479049999999999,10.480000000000000000,13.320000000000000000,"NASDAQ:CABA,",27.099200
CAR,116.430000000000000000,118.200000000000000000,111.880000000000000000,115.600000000000000000,1058900.000000000000000000,113.770000000000000000,1.610000000000000000,2024-05-03,103.15,108.1,111.28,1031090.0,1.19194004E8,1.056489,20.931432,4.657160000000005,94.750000000000000000,115.600000000000000000,"NASDAQ:CAR,",22.005300
CDLX,14.470000000000000000,15.210000000000000000,14.100000000000000000,14.880000000000000000,1065300.000000000000000000,13.970000000000000000,6.510000000000000000,2024-05-03,12.74,12.94,11.92,774160.0,1.15195008E7,1.078723,21.442939,7.214695000000004,11.520000000000000000,14.880000000000000000,"NASDAQ:CDLX,",29.166700
