symbol,open,high,low,close,volume,preclose,stockpctchange,date1,ma10,ma20,ma50,volumeMa10,dollarVolume,range,avgRange,adr,min10,max10,symbolToCopy,pct10d
BKKT,6.430000000000000000,6.750000000000000000,6.123500000000000000,6.500000000000000000,332800.000000000000000000,6.280000000000000000,3.500000000000000000,2024-05-03,3.77,2.12,1.2,2217480.0,1.441362E7,1.102311,22.836655,14.183275000000005,0.360100000000000000,9.960000000000000000,"nyse:BKKT,",2665.898400
CRS,100.540000000000000000,104.845000000000000000,99.970000000000000000,103.640000000000000000,892800.000000000000000000,99.900000000000000000,3.740000000000000000,2024-05-03,87.69,83.0,73.93,866150.0,8.9767786E7,1.048765,20.819602,4.0980100000000075,78.910000000000000000,103.640000000000000000,"nyse:CRS,",31.339500
CVNA,119.200000000000000000,124.200000000000000000,115.790000000000000000,121.670000000000000000,8528300.000000000000000000,116.500000000000000000,4.440000000000000000,2024-05-03,87.62,81.53,81.44,7493080.0,9.116830436E8,1.072631,21.359111,6.795554999999998,71.440000000000000000,121.670000000000000000,"nyse:CVNA,",70.310800
IONQ,9.250000000000000000,9.310000000000000000,8.910000000000000000,8.940000000000000000,3924200.000000000000000000,9.000000000000000000,-0.670000000000000000,2024-05-03,8.5,8.14,9.2,5081230.0,4.5426196199999996E7,1.044893,21.249524,6.247620000000009,7.490000000000000000,9.000000000000000000,"nyse:IONQ,",20.160200
IOT,37.680000000000000000,38.140000000000000000,37.220100000000000000,38.030000000000000000,2550500.000000000000000000,36.820000000000000000,3.290000000000000000,2024-05-03,35.08,33.41,34.95,3396120.0,1.2915444360000001E8,1.024715,20.821287,4.106435000000008,31.350000000000000000,38.030000000000000000,"nyse:IOT,",21.307800
NIO,5.530000000000000000,5.580000000000000000,5.330000000000000000,5.570000000000000000,54697700.000000000000000000,5.590000000000000000,-0.360000000000000000,2024-05-03,4.65,4.41,4.93,6.334673E7,3.528412861E8,1.046904,21.202174,6.0108700000000015,4.000000000000000000,5.590000000000000000,"nyse:NIO,",39.750000
NRT,7.780000000000000000,8.360000000000000000,7.780000000000000000,8.360000000000000000,127100.000000000000000000,7.780000000000000000,7.460000000000000000,2024-05-03,7.29,7.14,6.27,77080.0,644388.7999999999,1.074550,21.194461,5.972305000000011,6.800000000000000000,8.360000000000000000,"nyse:NRT,",22.941200
RSI,7.820000000000000000,7.925000000000000000,7.515000000000000000,7.860000000000000000,4314400.000000000000000000,7.550000000000000000,4.110000000000000000,2024-05-03,6.46,6.54,6.26,1894970.0,1.4894464200000001E7,1.054558,21.056269,5.281344999999993,5.930000000000000000,7.860000000000000000,"nyse:RSI,",32.546400
SUPV,6.750000000000000000,6.900000000000000000,6.440000000000000000,6.870000000000000000,2140100.000000000000000000,6.510000000000000000,5.530000000000000000,2024-05-03,6.22,5.95,5.43,1772950.0,1.21801665E7,1.071429,21.390992,6.954959999999999,5.720000000000000000,6.870000000000000000,"nyse:SUPV,",20.104900
TBBB,23.270000000000000000,24.705000000000000000,22.870000000000000000,24.370000000000000000,1302100.000000000000000000,23.000000000000000000,5.960000000000000000,2024-05-03,22.07,21.28,21.77,1094770.0,2.6679544900000002E7,1.080236,20.924428,4.622139999999986,20.050000000000000000,24.370000000000000000,"nyse:TBBB,",21.546100
